n_pot,ID,temps,d_in,n_rep,bloc,d_fin,t_repro
1,T1_10_1,T1,10,1,B1,526,52.60
2,T1_10_2,T1,10,2,B1,229,22.90
3,T1_10_3,T1,10,3,B1,117,11.70
4,T1_10_4,T1,10,4,B1,575,57.50
5,T1_10_5,T1,10,5,B2,410,41.00
6,T1_10_6,T1,10,6,B2,431,43.10
7,T1_10_7,T1,10,7,B2,314,31.40
8,T1_10_8,T1,10,8,B2,426,42.60
9,T1_10_9,T1,10,9,B3,353,35.30
10,T1_10_10,T1,10,10,B3,395,39.50
11,T1_10_11,T1,10,11,B3,463,46.30
12,T1_10_12,T1,10,12,B3,403,40.30
13,T1_20_1,T1,20,1,B1,307,15.35
14,T1_20_2,T1,20,2,B1,246,12.30
15,T1_20_3,T1,20,3,B1,228,11.40
16,T1_20_4,T1,20,4,B1,311,15.55
17,T1_20_5,T1,20,5,B2,486,24.30
18,T1_20_6,T1,20,6,B2,438,21.90
19,T1_20_7,T1,20,7,B2,500,25.00
20,T1_20_8,T1,20,8,B2,566,28.30
21,T1_20_9,T1,20,9,B3,444,22.20
22,T1_20_10,T1,20,10,B3,447,22.35
23,T1_20_11,T1,20,11,B3,377,18.85
24,T1_20_12,T1,20,12,B3,490,24.50
25,T1_40_1,T1,40,1,B1,223,5.58
26,T1_40_2,T1,40,2,B1,244,6.10
27,T1_40_3,T1,40,3,B1,146,3.65
28,T1_40_4,T1,40,4,B1,339,8.48
29,T1_40_5,T1,40,5,B2,263,6.58
30,T1_40_6,T1,40,6,B2,108,2.70
31,T1_40_7,T1,40,7,B2,224,5.60
32,T1_40_8,T1,40,8,B2,240,6.00
33,T1_40_9,T1,40,9,B3,517,12.93
34,T1_40_10,T1,40,10,B3,286,7.15
35,T1_40_11,T1,40,11,B3,365,9.13
36,T1_40_12,T1,40,12,B3,266,6.65
37,T1_60_1,T1,60,1,B1,319,5.32
38,T1_60_2,T1,60,2,B1,632,10.53
39,T1_60_3,T1,60,3,B1,352,5.87
40,T1_60_4,T1,60,4,B1,518,8.63
41,T1_60_5,T1,60,5,B2,255,4.25
42,T1_60_6,T1,60,6,B2,310,5.17
43,T1_60_7,T1,60,7,B2,76,1.27
44,T1_60_8,T1,60,8,B2,308,5.13
45,T1_60_9,T1,60,9,B3,277,4.62
46,T1_60_10,T1,60,10,B3,388,6.47
47,T1_60_11,T1,60,11,B3,355,5.92
48,T1_60_12,T1,60,12,B3,299,4.98
49,T1_80_1,T1,80,1,B1,421,5.26
50,T1_80_2,T1,80,2,B1,684,8.55
51,T1_80_3,T1,80,3,B1,464,5.80
52,T1_80_4,T1,80,4,B1,390,4.88
53,T1_80_5,T1,80,5,B2,233,2.91
54,T1_80_6,T1,80,6,B2,239,2.99
55,T1_80_7,T1,80,7,B2,289,3.61
56,T1_80_8,T1,80,8,B2,321,4.01
57,T1_80_9,T1,80,9,B3,802,10.03
58,T1_80_10,T1,80,10,B3,413,5.16
59,T1_80_11,T1,80,11,B3,420,5.25
60,T1_80_12,T1,80,12,B3,316,3.95
61,T2_10_1,T2,10,1,B1,568,56.80
62,T2_10_2,T2,10,2,B1,511,51.10
63,T2_10_3,T2,10,3,B1,539,53.90
64,T2_10_4,T2,10,4,B1,469,46.90
65,T2_10_5,T2,10,5,B2,330,33.00
66,T2_10_6,T2,10,6,B2,285,28.50
67,T2_10_7,T2,10,7,B2,620,62.00
68,T2_10_8,T2,10,8,B2,766,76.60
69,T2_10_9,T2,10,9,B3,365,36.50
70,T2_10_10,T2,10,10,B3,336,33.60
71,T2_10_11,T2,10,11,B3,675,67.50
72,T2_10_12,T2,10,12,B3,698,69.80
73,T2_20_1,T2,20,1,B1,493,24.65
74,T2_20_2,T2,20,2,B1,340,17.00
75,T2_20_3,T2,20,3,B1,412,20.60
76,T2_20_4,T2,20,4,B1,706,35.30
77,T2_20_5,T2,20,5,B2,369,18.45
78,T2_20_6,T2,20,6,B2,362,18.10
79,T2_20_7,T2,20,7,B2,307,15.35
80,T2_20_8,T2,20,8,B2,453,22.65
81,T2_20_9,T2,20,9,B3,518,25.90
82,T2_20_10,T2,20,10,B3,419,20.95
83,T2_20_11,T2,20,11,B3,397,19.85
84,T2_20_12,T2,20,12,B3,424,21.20
85,T2_40_1,T2,40,1,B1,408,10.20
86,T2_40_2,T2,40,2,B1,330,8.25
87,T2_40_3,T2,40,3,B1,305,7.63
88,T2_40_4,T2,40,4,B1,491,12.28
89,T2_40_5,T2,40,5,B2,549,13.73
90,T2_40_6,T2,40,6,B2,502,12.55
91,T2_40_7,T2,40,7,B2,367,9.18
92,T2_40_8,T2,40,8,B2,519,12.98
93,T2_40_9,T2,40,9,B3,381,9.53
94,T2_40_10,T2,40,10,B3,685,17.13
95,T2_40_11,T2,40,11,B3,448,11.20
96,T2_40_12,T2,40,12,B3,902,22.55
97,T2_60_1,T2,60,1,B1,769,12.82
98,T2_60_2,T2,60,2,B1,662,11.03
99,T2_60_3,T2,60,3,B1,536,8.93
100,T2_60_4,T2,60,4,B1,656,10.93
101,T2_60_5,T2,60,5,B2,693,11.55
102,T2_60_6,T2,60,6,B2,624,10.40
103,T2_60_7,T2,60,7,B2,438,7.30
104,T2_60_8,T2,60,8,B2,548,9.13
105,T2_60_9,T2,60,9,B3,513,8.55
106,T2_60_10,T2,60,10,B3,701,11.68
107,T2_60_11,T2,60,11,B3,712,11.87
108,T2_60_12,T2,60,12,B3,748,12.47
109,T2_80_1,T2,80,1,B1,582,7.28
110,T2_80_2,T2,80,2,B1,802,10.03
111,T2_80_3,T2,80,3,B1,799,9.99
112,T2_80_4,T2,80,4,B1,645,8.06
113,T2_80_5,T2,80,5,B2,930,11.63
114,T2_80_6,T2,80,6,B2,829,10.36
115,T2_80_7,T2,80,7,B2,204,2.55
116,T2_80_8,T2,80,8,B2,833,10.41
117,T2_80_9,T2,80,9,B3,811,10.14
118,T2_80_10,T2,80,10,B3,959,11.99
119,T2_80_11,T2,80,11,B3,783,9.79
120,T2_80_12,T2,80,12,B3,860,10.75
